TRACE_BADAJOZ_PENR2009_V001
RASTER=/nuevos/FUGAWI/MAPAS/BADAJOZ 2_4.jpeg
RASTER_W=1536
RASTER_H=1170
PIXEL_DOMAIN=PIXEL_RASTER_ORIGINAL
CRS_ORIGEN=ED50_UTM_HUSO_29_30
CRS_DESTINO=ETRS89_UTM_HUSO_29_30
PENR2009_PATH=Repositorio:p92md87/Fugawi/PENR2009.gsb
PENR2009_BLOB_SHA=4bdfa4ddef1adc4a32f7daf0956fe65b91d4aafa
NODOS=126
CUADRILATEROS=104
CIERRE_INV_MAX_M=0.000000000
ID,E_ED50,N_ED50,HUSO,LAT_ED50,LON_ED50,LAT_ETRS89,LON_ETRS89,E_ETRS89,N_ETRS89,DLAT_ARCSEC,DLON_ARCSEC,CIERRE_INV_M
B02C12,360000.000,4400000.000,30,39.737732288988,-4.633769840181,39.736526986441,-4.635097795894,359890.085,4399793.164,-4.339089169,4.780640567,0.000000000
B02C13,370145.867,4400000.000,30,39.739338110123,-4.515410234722,39.738133244450,-4.516735153557,370035.935,4399793.063,-4.337516424,4.769707807,0.000000000
B03C00,655639.782,4380000.000,29,39.554909152139,-7.188506463128,39.553681752921,-7.189881748996,655517.340,4379786.818,-4.418637185,4.951029124,0.000000000
B03C01,660000.000,4380000.000,29,39.554107225801,-7.137782643309,39.552880128595,-7.139156336391,659877.572,4379786.785,-4.417549942,4.945295096,0.000000000
B03C02,680000.000,4380000.000,29,39.550145426523,-6.905143395513,39.548919590739,-6.906511578152,679877.483,4379786.620,-4.413008822,4.925457502,0.000000000
B03C03,700000.000,4380000.000,29,39.545718448582,-6.672552780908,39.544495191496,-6.673917379156,699877.222,4379786.597,-4.403725511,4.912553694,0.000000000
B03C04,720000.000,4380000.000,29,39.540826596674,-6.440016178166,39.539605912937,-6.441376698114,719877.002,4379786.576,-4.394461453,4.897871812,0.000000000
B03C05,740000.000,4380000.000,29,39.535470207347,-6.207538958079,39.534250924851,-6.208894581855,739876.853,4379786.427,-4.389416987,4.880245593,0.000000000
B03C06,757859.257,4380000.000,29,39.530294835904,-6.000000000000,39.529076001697,-6.001352593369,757735.863,4379786.201,-4.387803145,4.869336128,0.000000000
B03C07,260000.000,4380000.000,30,39.535470207347,-5.792461041921,39.534253180983,-5.793811178019,259890.577,4379793.898,-4.381294910,4.860489953,0.000000000
B03C08,280000.000,4380000.000,30,39.540826596674,-5.559983821834,39.539611282833,-5.561329730703,279890.407,4379793.792,-4.375129827,4.845271929,0.000000000
B03C09,300000.000,4380000.000,30,39.545718448582,-5.327447219092,39.544504881456,-5.328788578807,299890.262,4379793.690,-4.368841653,4.828894973,0.000000000
B03C10,320000.000,4380000.000,30,39.550145426523,-5.094856604487,39.548933876539,-5.096191979631,319890.238,4379793.616,-4.361579943,4.807350519,0.000000000
B03C11,340000.000,4380000.000,30,39.554107225801,-4.862217356691,39.552896445204,-4.863548044907,339890.098,4379793.407,-4.358810148,4.790477577,0.000000000
B03C12,360000.000,4380000.000,30,39.557603573627,-4.629534861472,39.556394640161,-4.630858204055,359890.187,4379793.314,-4.352160476,4.764033298,0.000000000
B03C13,369646.041,4380000.000,30,39.559123417236,-4.517297753197,39.557914613121,-4.518618510701,369536.187,4379793.187,-4.351694815,4.754727014,0.000000000
B04C00,656098.734,4360000.000,29,39.374708694109,-7.187846157760,39.373476856970,-7.189218611503,655976.217,4359786.897,-4.434613701,4.940833476,0.000000000
B04C01,660000.000,4360000.000,29,39.373994694869,-7.142578287538,39.372763185318,-7.143949425302,659877.486,4359786.875,-4.433434382,4.936095950,0.000000000
B04C02,680000.000,4360000.000,29,39.370058030065,-6.910537135227,39.368828748417,-6.911902366344,679877.430,4359786.819,-4.425413932,4.914832020,0.000000000
B04C03,700000.000,4360000.000,29,39.365659134462,-6.678544136876,39.364431693391,-6.679905333453,699877.211,4359786.717,-4.418787855,4.900307676,0.000000000
B04C04,720000.000,4360000.000,29,39.360798309718,-6.446604618342,39.359572861255,-6.447962448927,719876.931,4359786.631,-4.411614468,4.888190107,0.000000000
B04C05,740000.000,4360000.000,29,39.355475889026,-6.214723897741,39.354252395165,-6.216076192478,739876.837,4359786.547,-4.404577898,4.868261054,0.000000000
B04C06,758525.125,4360000.000,29,39.350134488939,-6.000000000000,39.348912368252,-6.001350026919,758401.628,4359786.413,-4.399634473,4.860096908,0.000000000
B04C07,260000.000,4360000.000,30,39.355475889026,-5.785276102259,39.354256632289,-5.786623807955,259890.496,4359794.195,-4.389324255,4.851740505,0.000000000
B04C08,280000.000,4360000.000,30,39.360798309718,-5.553395381658,39.359579901295,-5.554738042699,279890.393,4359793.993,-4.386270322,4.833579749,0.000000000
